track,sample,hours,lat,lon,pressure
26,4.0,228,22.15,-108.65,994.8
26,4.0,234,22.71,-108.69,988.5
26,4.0,240,24.62,-110.53,987.5
26,4.0,246,24.54,-109.73,983.0
26,4.0,252,25.43,-110.9,991.6
26,4.0,258,26.69,-111.77,994.9
26,4.0,264,27.43,-112.96,1001.1
26,4.0,270,28.33,-113.67,1003.1
26,4.0,276,28.77,-115.0,1003.2
26,4.0,282,29.24,-114.97,1003.1
27,4.0,168,16.67,-110.87,1006.1
27,4.0,174,16.59,-111.77,1004.8
27,4.0,180,16.43,-112.95,1003.0
27,4.0,186,16.27,-113.67,1001.1
27,4.0,192,16.59,-113.99,1002.8
27,4.0,198,16.69,-114.07,1003.4
27,4.0,204,17.08,-114.06,1003.2
27,4.0,210,17.08,-114.3,1000.0
27,4.0,216,17.68,-114.12,1000.3
27,4.0,222,17.63,-114.94,1000.5
27,4.0,228,17.43,-114.41,1000.4
27,4.0,234,17.55,-114.3,998.5
27,4.0,240,17.47,-114.06,996.2
27,4.0,246,17.47,-113.92,997.5
27,4.0,252,17.78,-113.72,999.3
27,4.0,258,18.21,-113.85,998.7
27,4.0,264,18.59,-113.84,1001.3
27,4.0,270,19.12,-114.38,998.4
27,4.0,276,19.58,-115.48,1000.8
27,4.0,282,20.07,-115.96,999.1
27,4.0,288,20.02,-117.39,999.8
27,4.0,294,20.11,-118.26,1000.7
27,4.0,300,19.98,-119.5,1003.5
27,4.0,306,19.89,-120.64,1004.1
27,4.0,312,19.54,-121.6,1003.3
3,4.0,6,18.04,116.93,1001.4
3,4.0,12,18.15,116.8,1003.7
3,4.0,18,18.5,115.72,1002.2
3,4.0,24,18.8,114.83,1000.7
3,4.0,30,18.83,114.31,999.3
3,4.0,36,19.4,113.86,997.5
3,4.0,42,20.16,113.58,990.6
3,4.0,48,20.63,113.04,992.5
3,4.0,54,21.04,112.87,988.4
3,4.0,60,22.04,112.39,990.9
3,4.0,66,22.68,111.47,995.1
3,4.0,72,23.37,110.85,998.9
3,4.0,78,24.05,110.43,999.9
3,4.0,84,24.61,110.35,1003.3
3,4.0,90,25.0,109.88,1004.0
40,4.0,252,13.3,-37.9,1007.3
40,4.0,258,13.79,-39.18,1005.9
40,4.0,264,14.49,-40.6,1005.2
40,4.0,270,14.79,-41.95,1002.7
40,4.0,276,15.3,-43.06,1002.9
40,4.0,282,15.69,-44.49,999.4
40,4.0,288,16.4,-45.51,998.2
40,4.0,294,16.98,-47.02,1000.1
